tienda_nombre,nombre_producto,descripcion,precio,stock,categoria,imagen_url,tallas
"Pequeños Gigantes","Chaqueta Impermeable Niño","Chaqueta ligera impermeable con capucha. Perfecta para días de lluvia.",85000,8,Ropa Infantil,https://images.unsplash.com/photo-1604671801908-6f0c6a092c05?w=600&q=80,"4:2;6:3;8:2;10:1"
"Pequeños Gigantes","Conjunto Escolar Completo","Set escolar con camisa blanca y pantalón azul oscuro. Tela de fácil planchado.",95000,10,Ropa Infantil,https://images.unsplash.com/photo-1445633629932-0029acc44e88?w=600&q=80,"4:3;6:3;8:2;10:2"
"Pequeños Gigantes","Pijama Unicornio Niña","Pijama largo de algodón con diseño de unicornio. Colores suaves y estampado brillante.",38000,25,Ropa Infantil,https://images.unsplash.com/photo-1553708881-112abc53fe54?w=600&q=80,"2:7;4:8;6:7;8:3"
"Pequeños Gigantes","Vestido Formal Niña","Vestido elegante para ocasiones especiales. Tela satinada con lazo en la espalda.",72000,7,Ropa Infantil,https://images.unsplash.com/photo-1473163928189-364b2c4e7cea?w=600&q=80,"4:2;6:2;8:2;10:1"
"Bolsos & Chic","Bolso Tote Cuero Marrón","Bolso tote grande en cuero genuino color marrón. Interior forrado con bolsillo extra.",185000,8,Bolsos y Accesorios,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=600&q=80,""
"Bolsos & Chic","Clutch Noche Dorado","Clutch de noche con cierre de cadena dorada. Exterior en tela metálica brillante.",95000,12,Bolsos y Accesorios,https://images.unsplash.com/photo-1575032617751-6ddec2089882?w=600&q=80,""
"Bolsos & Chic","Mochila Urbana Trendy","Mochila de cuero PU con múltiples compartimentos. Correas ajustables y diseño moderno.",125000,15,Bolsos y Accesorios,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=600&q=80,""
"Bolsos & Chic","Cartera Cuero Compact","Cartera pequeña de cuero genuino con múltiples ranuras para tarjetas y billete.",145000,6,Bolsos y Accesorios,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=600&q=80,""
"Bolsos & Chic","Bolso Playa Rafia Natural","Bolso de playa tejido en rafia natural. Amplio interior y cierre con magneto.",68000,20,Bolsos y Accesorios,https://images.unsplash.com/photo-1592150621744-aca64f48394a?w=600&q=80,""
"Bolsos & Chic","Billetera Mujer Rosa Pastel","Billetera de cuero sintético en rosa pastel. Secciones para tarjetas, monedas y billetes.",45000,25,Bolsos y Accesorios,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=600&q=80,""
"Bolsos & Chic","Bolso Bandolera Mini Piel","Bolso cruzado mini en piel sintética. Cadena regulable y varios colores disponibles.",112000,10,Bolsos y Accesorios,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=600&q=80,""
"Bolsos & Chic","Cinturón Cuero Premium","Cinturón de cuero genuino con hebilla metálica. Ajustable, duradero y atemporal.",58000,18,Bolsos y Accesorios,https://images.unsplash.com/photo-1614676471928-2ed0ad1061a4?w=600&q=80,""
"Bolsos & Chic","Gorra Baseball Trendy","Gorra de béisbol en tela twill con logo bordado. Cierre trasero ajustable.",35000,30,Bolsos y Accesorios,https://images.unsplash.com/photo-1556306535-0f09a537f0a3?w=600&q=80,""
"Bolsos & Chic","Pañuelo Seda Estampado","Pañuelo de seda artificial con estampado geométrico. Múltiples formas de usarlo.",42000,22,Bolsos y Accesorios,https://images.unsplash.com/photo-1512436991641-6745cdb1723f?w=600&q=80,""
"SportMax Colombia","Camiseta Running Dri-Fit","Camiseta técnica de poliéster con tecnología de secado rápido. Reflectivos en mangas.",68000,25,Deportes,https://images.unsplash.com/photo-1556906781-9a412961a28c?w=600&q=80,"S:6;M:8;L:7;XL:4"
"SportMax Colombia","Mallas Deportivas Mujer","Mallas de compresión con cintura alta. Tela cuatro vías para máxima movilidad.",85000,20,Deportes,https://images.unsplash.com/photo-1506629082955-511b1aa562c8?w=600&q=80,"XS:4;S:6;M:6;L:4"
"SportMax Colombia","Tenis Crossfit Pro","Tenis de entrenamiento funcional con suela plana y soporte lateral reforzado.",198000,12,Deportes,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600&q=80,"37:2;38:3;39:3;40:2;41:2"
"SportMax Colombia","Balón Fútbol #5 Pro","Balón de fútbol oficial talla 5. Cámara de butilo, cuero sintético termosellado.",88000,15,Deportes,https://images.unsplash.com/photo-1571495592-4e32c25e9eea?w=600&q=80,""
"SportMax Colombia","Mochila Deportiva 30L","Mochila impermeable con compartimento para hidratación y bolsillos laterales.",95000,10,Deportes,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=600&q=80,""
"SportMax Colombia","Guantes Boxeo Cuero","Guantes de boxeo en cuero genuino. Relleno de espuma de alta densidad. 12 oz.",145000,8,Deportes,https://images.unsplash.com/photo-1572805043490-9af13a88c476?w=600&q=80,""
"SportMax Colombia","Botella Térmica Acero 1L","Botella de acero inoxidable doble pared. Mantiene bebidas frías 24h o calientes 12h.",48000,35,Deportes,https://images.unsplash.com/photo-1550505095-81378a674395?w=600&q=80,""
"SportMax Colombia","Shorts Deportivos Hombre","Shorts de malla doble capa con bolsillo trasero. Cintura elástica con cordón.",55000,28,Deportes,https://images.unsplash.com/photo-1551698618-1dfe5d97d256?w=600&q=80,"S:7;M:9;L:8;XL:4"
"SportMax Colombia","Cuerda Saltar Speed Pro","Cuerda de saltar con rodamientos de acero. Cable acero plastificado, mangos ergonómicos.",28000,40,Deportes,https://images.unsplash.com/photo-1517940001917-1c03b8b1b85b?w=600&q=80,""
"SportMax Colombia","Set Bandas Resistencia x5","Kit de 5 bandas elásticas con diferentes niveles de resistencia. Incluye bolsa.",38000,30,Deportes,https://images.unsplash.com/photo-1598289431512-b97b0917affc?w=600&q=80,""
"Sabores del Campo","Miel Artesanal Pura 500g","Miel de abejas 100% natural recolectada en el Huila. Sin aditivos ni conservantes.",28000,40,Alimentos,https://images.unsplash.com/photo-1558642452-9d2a7deb7f62?w=600&q=80,""
"Sabores del Campo","Mermelada de Mora 350g","Mermelada artesanal de mora de castilla. Preparada con fruta fresca y azúcar de caña.",15000,60,Alimentos,https://images.unsplash.com/photo-1563805042-7684c019e1cb?w=600&q=80,""
"Sabores del Campo","Café Molido Premium 500g","Café de origen de la región cafetera colombiana. Tostión media, aroma intenso.",35000,30,Alimentos,https://images.unsplash.com/photo-1447933601403-0c6688de566e?w=600&q=80,""
"Sabores del Campo","Chocolate Artesanal 70% 200g","Tableta de chocolate oscuro elaborado con cacao fino de aroma. Sin lecitina.",22000,50,Alimentos,https://images.unsplash.com/photo-1548907040-4d42bdf0db7a?w=600&q=80,""
"Sabores del Campo","Bocadillo Veleño Tradicional 400g","Bocadillo de guayaba elaborado artesanalmente en Vélez, Santander. Receta tradicional.",12000,80,Alimentos,https://images.unsplash.com/photo-1547592166-23ac45744acd?w=600&q=80,""
"Sabores del Campo","Panela Orgánica 1kg","Panela granulada orgánica sin blanquear. Fuente natural de minerales y energía.",8000,100,Alimentos,https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?w=600&q=80,""
"Sabores del Campo","Arequipe Casero 450g","Arequipe tradicional colombiano elaborado a fuego lento. Cremoso y de sabor auténtico.",18000,45,Alimentos,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2?w=600&q=80,""
"Sabores del Campo","Aceite de Coco Virgen 250ml","Aceite de coco virgen extra prensado en frío. Sin refinamiento, aroma natural.",32000,25,Alimentos,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&q=80,""
"Sabores del Campo","Granola Artesanal Frutos Secos 500g","Granola horneada con avena, miel, almendras, nueces y pasas. Sin gluten.",28000,35,Alimentos,https://images.unsplash.com/photo-1527808367913-939f2157c60f?w=600&q=80,""
"Sabores del Campo","Frutas Deshidratadas Mix 200g","Mezcla de mango, piña, papaya y fresa deshidratados naturalmente. Sin azúcar añadida.",25000,40,Alimentos,https://images.unsplash.com/photo-1502741338009-cac2772e18bc?w=600&q=80,""
"Arte y Manos","Mochila Wayuu Original","Mochila Wayuu tejida a mano por artesanas de la Guajira. Diseño geométrico único.",185000,8,Artesanías,https://images.unsplash.com/photo-1538602932261-f28b2a94e9e9?w=600&q=80,""
"Arte y Manos","Canasto Palma Iraca Tejido","Canasto decorativo tejido en palma de iraca. Formas y diseños tradicionales del Cauca.",65000,12,Artesanías,https://images.unsplash.com/photo-1549465220-1a8b9238cd48?w=600&q=80,""
"Arte y Manos","Figura Cerámica Vivienda Tradicional","Figura decorativa en cerámica pintada a mano representando vivienda colombiana.",95000,5,Artesanías,https://images.unsplash.com/photo-1493106819501-66d381c466f1?w=600&q=80,""
"Arte y Manos","Macramé Colgante Boho","Macramé decorativo tejido en cordón de algodón natural. Ideal para espacios boho.",75000,10,Artesanías,https://images.unsplash.com/photo-1498889444388-e67ea62c464b?w=600&q=80,""
"Arte y Manos","Taza Pintada a Mano Flores","Taza de cerámica con diseño floral pintado a mano. Cada pieza es única.",38000,20,Artesanías,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?w=600&q=80,""
"Arte y Manos","Cuadro Bordado Paisaje Regional","Cuadro bordado a mano sobre tela lino. Paisaje de montaña colombiano en tonos tierra.",125000,4,Artesanías,https://images.unsplash.com/photo-1505765050516-f72dcac9c60e?w=600&q=80,""
"Arte y Manos","Collar Artesanal Chaquiras","Collar elaborado con chaquiras de colores por artesanas indígenas. Diseño tradicional.",45000,15,Artesanías,https://images.unsplash.com/photo-1506630448388-4e683c67ddb0?w=600&q=80,""
"Arte y Manos","Marco Fotos Madera Tallada","Marco para fotos tallado en madera de cedro. Diseño de hojas y flores en relieve.",85000,8,Artesanías,https://images.unsplash.com/photo-1562204319-39e0b1c18a20?w=600&q=80,""
"Arte y Manos","Vela Aromática Artesanal Cera Soya","Vela de cera de soya con esencias naturales: lavanda, eucalipto o canela. 200g.",28000,30,Artesanías,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=600&q=80,""
"Arte y Manos","Mantel Bordado Mesa 6 Puestos","Mantel de lino bordado a mano con motivos florales. Incluye 6 individuales.",155000,6,Artesanías,https://images.unsplash.com/photo-1495121553079-4c61bcce1894?w=600&q=80,""
"TechZone CO","Audífonos Bluetooth Noise Cancelling","Audífonos over-ear con cancelación activa de ruido. Batería 30h, conexión dual.",285000,15,Tecnología,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=600&q=80,""
"TechZone CO","Mouse Gamer RGB 6400 DPI","Mouse gaming con iluminación RGB. 6 botones programables, sensor óptico 6400 DPI.",125000,20,Tecnología,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=600&q=80,""
"TechZone CO","Teclado Mecánico TKL RGB","Teclado mecánico TKL (sin numpad) con switches Blue. Retroiluminación RGB por tecla.",195000,10,Tecnología,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=600&q=80,""
"TechZone CO","Hub USB-C 7 en 1","Hub USB-C con HDMI 4K, USB-A x3, SD, MicroSD y PD 100W. Plug & play.",88000,25,Tecnología,https://images.unsplash.com/photo-1625842268584-8f3296236761?w=600&q=80,""
"TechZone CO","Soporte Laptop Aluminio Plegable","Soporte portátil de aluminio para laptop 10–17 pulgadas. Altura ajustable 6 niveles.",68000,18,Tecnología,https://images.unsplash.com/photo-1527443224154-c4a573d5dd63?w=600&q=80,""
"TechZone CO","Cargador Inalámbrico 15W Qi","Cargador inalámbrico rápido 15W compatible con Qi. Base de carga con LED indicador.",75000,22,Tecnología,https://images.unsplash.com/photo-1616763355548-1b606f439f86?w=600&q=80,""
"TechZone CO","Webcam HD 1080p 60fps","Webcam con micrófono de reducción de ruido. Corrección automática de iluminación.",145000,12,Tecnología,https://images.unsplash.com/photo-1593508512255-86ab42a8e620?w=600&q=80,""
"TechZone CO","Mousepad XL Desk Gaming 90x40cm","Mousepad extendido de tela con base antideslizante. Bordes cosidos, lavable.",45000,30,Tecnología,https://images.unsplash.com/photo-1616789616456-a7c4c36ba6f6?w=600&q=80,""
"TechZone CO","Cable USB-C Trenzado 2m","Cable USB-C trenzado de nylon resistente. Carga rápida 100W, transferencia 10Gbps.",28000,40,Tecnología,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=600&q=80,""
"TechZone CO","Lámpara LED Clip Monitor USB","Lámpara LED para pantalla con sensor de proximidad y control táctil. Sin deslumbramiento.",38000,25,Tecnología,https://images.unsplash.com/photo-1592853285386-6c4de65e8eed?w=600&q=80,""
"Casa Ideal Hogar","Juego Toallas Algodón Egipcio x6","Set de 6 toallas (2 de baño, 2 de cara, 2 de manos) en algodón egipcio 600g/m².",95000,15,Hogar,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=600&q=80,""
"Casa Ideal Hogar","Set Cojines Decorativos Velvet x4","4 cojines de terciopelo en tonos tierra con relleno de alta densidad. 45x45cm.",125000,8,Hogar,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&q=80,""
"Casa Ideal Hogar","Velón Aromático Grande Soja","Velón de cera de soja con mecha de algodón. Esencias: vainilla, cedro o jazmín.",35000,30,Hogar,https://images.unsplash.com/photo-1608831540955-35094d48694a?w=600&q=80,""
"Casa Ideal Hogar","Organizador Escritorio Bambú 6 Compartimentos","Organizador de escritorio modular en bambú natural. 6 secciones de diferentes tamaños.",55000,20,Hogar,https://images.unsplash.com/photo-1618219740975-d40978bb7378?w=600&q=80,""
"Casa Ideal Hogar","Jarrones Decorativos Cerámica Set x3","Trio de jarrones en cerámica esmaltada con acabado mate. Tamaños S, M y L.",75000,10,Hogar,https://images.unsplash.com/photo-1582034986517-30d163aa1da9?w=600&q=80,""
"Casa Ideal Hogar","Cortinas Blackout Lino 2.20m","Par de cortinas blackout en lino natural. Bloqueo de luz del 90%. Ancho 1.40m c/u.",145000,12,Hogar,https://images.unsplash.com/photo-1558882224-dda166733046?w=600&q=80,""
"Casa Ideal Hogar","Cesto Ropa Ratán Natural","Cesto tejido en ratán natural con asas. Capacidad 50L, cierre con tapa.",68000,15,Hogar,https://images.unsplash.com/photo-1629994118507-fc0d9b93cfbe?w=600&q=80,""
"Casa Ideal Hogar","Portarretrato Madera 3 Aberturas","Marco de madera natural para 3 fotos 10x15cm. Acabado envejecido con barniz mate.",42000,25,Hogar,https://images.unsplash.com/photo-1506439773649-6e0eb8cfb237?w=600&q=80,""
"Casa Ideal Hogar","Difusor Aromas Eléctrico Ultrasonido","Difusor de aceites esenciales con tecnología ultrasonido. 7 luces LED, 4 temporizadores.",88000,18,Hogar,https://images.unsplash.com/photo-1616046229478-9901c5536a45?w=600&q=80,""
"Casa Ideal Hogar","Tapete Sala Bohemio Yute 120x80cm","Tapete tejido en yute natural con flecos. Diseño geométrico estilo bohemio.",185000,6,Hogar,https://images.unsplash.com/photo-1575301264506-11e3e4b7e8ce?w=600&q=80,""
"Glam Beauty Studio","Sérum Vitamina C 15% Activo 30ml","Sérum facial con vitamina C estabilizada al 15%. Ilumina, unifica y protege.",88000,25,Belleza,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=600&q=80,""
"Glam Beauty Studio","Paleta Sombras 18 Colores Nude","Paleta de sombras en tonos nude y tierra. Acabados mate, shimmer y glitter. Alta pigmentación.",75000,20,Belleza,https://images.unsplash.com/photo-1512496015851-a90fb38ba796?w=600&q=80,""
"Glam Beauty Studio","Mascarilla Facial Arcilla Verde 100g","Mascarilla purificante de arcilla verde con extracto de aloe vera. Piel sensible y mixta.",42000,35,Belleza,https://images.unsplash.com/photo-1556228453-efd6c1ff04f6?w=600&q=80,""
"Glam Beauty Studio","Perfume Floral Mujer EDP 50ml","Eau de Parfum con notas de rosa, jazmín y sándalo blanco. Duración 8-10 horas.",125000,12,Belleza,https://images.unsplash.com/photo-1541643600914-78b084683702?w=600&q=80,""
"Glam Beauty Studio","Kit Maquillaje Completo 12 Piezas","Set profesional con base, corrector, contorno, iluminador, labial, máscara y más.",185000,8,Belleza,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=600&q=80,""
"Glam Beauty Studio","Crema Facial SPF50 Hidratante 50ml","Crema hidratante con FPS 50 de amplio espectro. Textura ligera no comedogénica.",65000,30,Belleza,https://images.unsplash.com/photo-1601049676869-702ea24cfd58?w=600&q=80,""
"Glam Beauty Studio","Set Labiales Matte Larga Duración x5","5 labiales matte de alta cobertura en tonos nude, rosado, coral, rojo y vino.",55000,28,Belleza,https://images.unsplash.com/photo-1586495777744-4e6232bf2176?w=600&q=80,""
"Glam Beauty Studio","Aceite Capilar Argán Marroquí 120ml","Aceite de argán puro para cabello. Hidrata, controla el frizz y da brillo sin grasa.",48000,22,Belleza,https://images.unsplash.com/photo-1629421264940-9f14413a8b40?w=600&q=80,""
"Glam Beauty Studio","Agua Micelar Desmaquillante 400ml","Agua micelar triple acción: limpia, tonifica y refresca. Sin parabenos ni alcohol.",35000,40,Belleza,https://images.unsplash.com/photo-1570193626668-8f00d2b8cfab?w=600&q=80,""
"Glam Beauty Studio","Base Líquida Cobertura Total 30ml","Base de maquillaje con cobertura buildable. 12 tonos disponibles, acabado semimate.",92000,15,Belleza,https://images.unsplash.com/photo-1607435975285-c14d2012e93e?w=600&q=80,""
